14100,110010723,0.01,200,R$
14101,110010723,200.01,300,R$
14102,110010723,300.01,400,R$
14103,110010723,400.01,500,R$
14104,110010723,500.01,600,R$
14105,110010723,600.01,700,R$
14106,110010723,700.01,800,R$
14107,110010723,800.01,900,R$
14108,110010723,900.01,1000,R$
14109,110010723,1000.01,2000,R$
14110,110010723,2000.01,3000,R$
14111,110010723,3000.01,4000,R$
14112,110010723,4000.01,5000,R$
14200,110010723,0.01,200,R$
14200,110011513,0.01,200,R$
14200,110011514,0.01,200,R$
14201,110010723,200.01,250,R$
14201,110011513,200.01,250,R$
14201,110011514,200.01,250,R$
14202,110010723,250.01,300,R$
14202,110011513,250.01,300,R$
14202,110011514,250.01,300,R$
14203,110010723,300.01,350,R$
14203,110011513,300.01,350,R$
14203,110011514,300.01,350,R$
14204,110010723,350.01,400,R$
14204,110011513,350.01,400,R$
14204,110011514,350.01,400,R$
14205,110010723,400.01,450,R$
14205,110011513,400.01,450,R$
14205,110011514,400.01,450,R$
14206,110010723,450.01,500,R$
14206,110011513,450.01,500,R$
14206,110011514,450.01,500,R$
14207,110010723,500.01,700,R$
14207,110011513,500.01,700,R$
14207,110011514,500.01,700,R$
14208,110010723,700.01,900,R$
14208,110011513,700.01,900,R$
14208,110011514,700.01,900,R$
14209,110010723,900.01,1000,R$
14209,110011513,900.01,1000,R$
14209,110011514,900.01,1000,R$
14210,110010723,1000.01,1250,R$
14210,110011513,1000.01,1250,R$
14210,110011514,1000.01,1250,R$
14211,110010723,1250.01,1500,R$
14211,110011513,1250.01,1500,R$
14211,110011514,1250.01,1500,R$
14212,110010723,1500.01,1750,R$
14212,110011513,1500.01,1750,R$
14212,110011514,1500.01,1750,R$
14213,110010723,1750.01,2000,R$
14213,110011513,1750.01,2000,R$
14213,110011514,1750.01,2000,R$
14214,110010723,2000.01,2500,R$
14214,110011513,2000.01,2500,R$
14214,110011514,2000.01,2500,R$
14215,110010723,2500.01,3000,R$
14215,110011513,2500.01,3000,R$
14215,110011514,2500.01,3000,R$
14216,110010723,3000.01,3500,R$
14216,110011513,3000.01,3500,R$
14216,110011514,3000.01,3500,R$
14217,110010723,3500.01,4000,R$
14217,110011513,3500.01,4000,R$
14217,110011514,3500.01,4000,R$
14218,110010723,4000.01,4500,R$
14218,110011513,4000.01,4500,R$
14218,110011514,4000.01,4500,R$
14219,110010723,4500.01,5000,R$
14219,110011513,4500.01,5000,R$
14219,110011514,4500.01,5000,R$
14220,110010723,5000.01,6000,R$
14220,110011513,5000.01,6000,R$
14220,110011514,5000.01,6000,R$
14221,110010723,6000.01,7000,R$
14221,110011513,6000.01,7000,R$
14221,110011514,6000.01,7000,R$
14222,110010723,7000.01,8000,R$
14222,110011513,7000.01,8000,R$
14222,110011514,7000.01,8000,R$
14223,110010723,8000.01,9000,R$
14223,110011513,8000.01,9000,R$
14223,110011514,8000.01,9000,R$
14224,110010723,9000.01,10000,R$
14224,110011513,9000.01,10000,R$
14224,110011514,9000.01,10000,R$
14300,110010723,0.01,200,R$
14300,110011513,0.01,200,R$
14300,110011514,0.01,200,R$
14301,110010723,200.01,300,R$
14301,110011513,200.01,300,R$
14301,110011514,200.01,300,R$
14302,110010723,300.01,400,R$
14302,110011513,300.01,400,R$
14302,110011514,300.01,400,R$
14303,110010723,400.01,500,R$
14303,110011513,400.01,500,R$
14303,110011514,400.01,500,R$
14304,110010723,500.01,600,R$
14304,110011513,500.01,600,R$
14304,110011514,500.01,600,R$
14305,110010723,600.01,700,R$
14305,110011513,600.01,700,R$
14305,110011514,600.01,700,R$
14306,110010723,700.01,800,R$
14306,110011513,700.01,800,R$
14306,110011514,700.01,800,R$
14307,110010723,800.01,900,R$
14307,110011513,800.01,900,R$
14307,110011514,800.01,900,R$
14308,110010723,900.01,1000,R$
14308,110011513,900.01,1000,R$
14308,110011514,900.01,1000,R$
14309,110010723,1000.01,2000,R$
14309,110011513,1000.01,2000,R$
14309,110011514,1000.01,2000,R$
14310,110010723,2000.01,3000,R$
14310,110011513,2000.01,3000,R$
14310,110011514,2000.01,3000,R$
14311,110010723,3000.01,4000,R$
14311,110011513,3000.01,4000,R$
14311,110011514,3000.01,4000,R$
14400,110010723,0.01,200,R$
14401,110010723,200.01,300,R$
14402,110010723,300.01,400,R$
14403,110010723,400.01,500,R$
14404,110010723,500.01,600,R$
14405,110010723,600.01,700,R$
14406,110010723,700.01,800,R$
14407,110010723,800.01,900,R$
14408,110010723,900.01,1000,R$
14409,110010723,1000.01,2000,R$
14410,110010723,2000.01,3000,R$
14411,110010723,3000.01,4000,R$
14700,110010723,0.01,40,15
14701,110010723,40.01,80,20
14702,110010723,80.01,120,23
14703,110010723,120.01,160,26
14704,110010723,160.01,200,30
14705,110010723,200.01,250,34
14706,110010723,250.01,300,39
14707,110010723,300.01,350,58
14708,110010723,350.01,400,68
14709,110010723,400.01,450,73
14710,110010723,450.01,500,82
14711,110010723,500.01,600,95
14712,110010723,600.01,700,112
14713,110010723,700.01,800,138
14714,110010723,800.01,900,157
14715,110010723,900.01,1000,178
14716,110010723,1000.01,1100,209
14717,110010723,1100.01,1200,230
14718,110010723,1200.01,1300,249
14719,110010723,1300.01,1400,269
14720,110010723,1400.01,1500,319
14721,110010723,1500.01,2000,390
